web-scraper-order,web-scraper-start-url,link,link-href,Name Of Organisation,number of vacancies,salary,age,experience,Qualification
"1758010370-1","https://jobyaari.com/category/science?type=graduate","Multipurpose Assistant
                    
                      
                        
                          
                            Andhra Pradesh Medical Services Recruitment Board (APMSRB)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2692","Andhra Pradesh Medical Services Recruitment Board (APMSRB)","1","Salary25000 / Month","30","Experience
                                  3+
                  Years","QualificationAny Degree"
"1758010377-2","https://jobyaari.com/category/science?type=graduate","Security
                    
                      
                        
                          
                            Central Council for Research in Ayurvedic Sciences (CCRAS)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2659","Central Council for Research in Ayurvedic Sciences (CCRAS)","1","SalaryLevel 5, as per 7th CPC","30","Experience
                                  3+
                  Years","QualificationAny Degree"
"1758010384-3","https://jobyaari.com/category/science?type=graduate","Upper Division Clerk
                    
                      
                        
                          
                            Central Council for Research in Ayurvedic Sciences (CCRAS)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2650","Central Council for Research in Ayurvedic Sciences (CCRAS)","39","SalaryLevel 4, as per 7th CPC","27","Experience
                Fresher","QualificationAny Degree"
"1758010391-4","https://jobyaari.com/category/science?type=graduate","Assistant
                    
                      
                        
                          
                            Central Council for Research in Ayurvedic Sciences (CCRAS)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2638","Central Council for Research in Ayurvedic Sciences (CCRAS)","13","SalaryLevel 6, as per 7th CPC","30","Experience
                Fresher","QualificationAny Degree"
"1758010398-5","https://jobyaari.com/category/science?type=graduate","Office Assistants
                    
                      
                        
                          
                            Institute of Banking Personnel Selection (IBPS)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2598","Institute of Banking Personnel Selection (IBPS)","7842","SalaryCheck Notification","18 - 28","Experience
                Fresher","QualificationAny Degree"
"1758010406-6","https://jobyaari.com/category/science?type=graduate","Customer Service Associate
                    
                      
                        
                          
                            Institute of Banking Personnel Selection (IBPS)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2594","Institute of Banking Personnel Selection (IBPS)","10277","Salary24050 - 64480","20 - 28","Experience
                Fresher","QualificationAny Degree"
"1758010413-7","https://jobyaari.com/category/science?type=graduate","Trade Apprentice (Assistant- Human Resource)
                    
                      
                        
                          
                            Indian Oil Corporation Limited (IOCL)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2584","Indian Oil Corporation Limited (IOCL)","537","SalaryCheck Notification","18 - 24","Experience
                Fresher","QualificationAny Degree"
"1758010420-8","https://jobyaari.com/category/science?type=graduate","शिक्षा विकास पदाधिकारी
                    
                      
                        
                          
                            Bihar Public Service Commission (BPSC)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2576","Bihar Public Service Commission (BPSC)","935","Salary29200 / Month","21 - 37","Experience
                Fresher","QualificationAny Degree"
"1758010427-9","https://jobyaari.com/category/science?type=graduate","Stenographer Grade-‘D’
                    
                      
                        
                          
                            National Capital Region Planning Board (NCRPB)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2419","National Capital Region Planning Board (NCRPB)","2","Salary25500 - 81100","28","Experience
                Fresher","QualificationAny Degree"
"1758010434-10","https://jobyaari.com/category/science?type=graduate","Stenographer Grade-‘C’
                    
                      
                        
                          
                            National Capital Region Planning Board (NCRPB)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2418","National Capital Region Planning Board (NCRPB)","1","Salary44900 - 142400","28","Experience
                Fresher","QualificationAny Degree"
"1758010442-11","https://jobyaari.com/category/science?type=graduate","Assistant
                    
                      
                        
                          
                            Satluj Jal Vidyut Nigam Limited (SJVN)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2070","Satluj Jal Vidyut Nigam Limited (SJVN)","10","Salary23000 / Month","30","Experience
                                  10+
                  Years","QualificationAny Degree"
"1758010449-12","https://jobyaari.com/category/science?type=graduate","Project Technical Support - III (Microbiology/Genomics)
                              
                                
                                  
                                    
                                      All India Institute of Medical Sciences Bhubaneswar (AIIMS Bhubaneswar)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/1064","All India Institute of Medical Sciences Bhubaneswar (AIIMS Bhubaneswar)","2","Salary36000 / Month","35","Experience
                                  3+
                  Years","QualificationB.SC/B.SC(Hons)"
"1758010456-13","https://jobyaari.com/category/science?type=graduate","Project Technical Support
                              
                                
                                  
                                    
                                      All India Institute of Medical Sciences Rishikesh (AIIMS Rishikesh)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/1072","All India Institute of Medical Sciences Rishikesh (AIIMS Rishikesh)","1","Salary25000 / Month","35","Experience
                                  3+
                  Years","QualificationB.SC/B.SC(Hons)"
"1758010463-14","https://jobyaari.com/category/science?type=graduate","Laboratory Assistant
                              
                                
                                  
                                    
                                      Arunachal Pradesh Staff Selection Board (APSSB)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/1991","Arunachal Pradesh Staff Selection Board (APSSB)","26","Salary29200 - 92300","18 - 35","Experience
                Fresher","QualificationB.SC/B.SC(Hons)"
"1758010470-15","https://jobyaari.com/category/science?type=graduate","Photo Type Setter Operator
                              
                                
                                  
                                    
                                      Himachal Pradesh Rajya Chayan Aayog (HPRCA)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2360","Himachal Pradesh Rajya Chayan Aayog (HPRCA)","5","Salary35600 - 112800","18 - 45","Experience
                Fresher","QualificationDiploma"
"1758010478-16","https://jobyaari.com/category/science?type=graduate","Young Professional – I (YP-I)
                              
                                
                                  
                                    
                                      Indian Veterinary Research Institute (IVRI)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2466","Indian Veterinary Research Institute (IVRI)","1","Salary30000 / Month","21 - 45","Experience
                Fresher","QualificationB.SC/B.SC(Hons),BS"
"1758010485-17","https://jobyaari.com/category/science?type=graduate","Graduate Operations (Trainee)/(Survey)/(CR&D/HPU)/(Physics)
                              
                                
                                  
                                    
                                      Uranium Corporation of India Limited (UCIL)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2494","Uranium Corporation of India Limited (UCIL)","20","Salary29990 / Month","18 - 55","Experience
                Fresher","QualificationB.SC/B.SC(Hons)"
"1758010492-18","https://jobyaari.com/category/science?type=graduate","Project Technician
                              
                                
                                  
                                    
                                      Anna University (AU Chennai)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2506","Anna University (AU Chennai)","2","Salary20000 / Month","Check Notification","Experience
                                  5+
                  Years","QualificationDiploma"
"1758010499-19","https://jobyaari.com/category/science?type=graduate","Lab Assistant (Chemical Plant)
                              
                                
                                  
                                    
                                      Indian Rare Earths Limited (IREL)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2539","Indian Rare Earths Limited (IREL)","2","SalaryAcc to Rules","18 - 25","Experience
                Fresher","QualificationB.SC/B.SC(Hons)"
"1758010506-20","https://jobyaari.com/category/science?type=graduate","Junior Intelligence Officer-II/Tech
                              
                                
                                  
                                    
                                      Intelligence Bureau                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2580","Intelligence Bureau","394","Salary25500 - 81100","18 - 27","Experience
                Fresher","QualificationB.SC/B.SC(Hons)"
"1758010514-21","https://jobyaari.com/category/science?type=graduate","Assistant Manager
                              
                                
                                  
                                    
                                      Institute of Banking Personnel Selection (IBPS)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2610","Institute of Banking Personnel Selection (IBPS)","3907","SalaryCheck Notification","18 - 30","Experience
                Fresher","QualificationB.SC/B.SC(Hons)"
"1758010521-22","https://jobyaari.com/category/science?type=graduate","General Banking Officer (Manager)
                              
                                
                                  
                                    
                                      Institute of Banking Personnel Selection (IBPS)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2618","Institute of Banking Personnel Selection (IBPS)","824","SalaryCheck Notification","21 - 32","Experience
                                  2+
                  Years","QualificationB.SC/B.SC(Hons)"
"1758010528-23","https://jobyaari.com/category/science?type=graduate","Senior Manager
                              
                                
                                  
                                    
                                      Institute of Banking Personnel Selection (IBPS)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2633","Institute of Banking Personnel Selection (IBPS)","199","SalaryCheck Notification","21 - 40","Experience
                                  5+
                  Years","QualificationB.SC/B.SC(Hons),BS,Diploma"
"1758010535-24","https://jobyaari.com/category/science?type=graduate","Food safety expert
                              
                                
                                  
                                    
                                      Andhra Pradesh Medical Services Recruitment Board (APMSRB)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2685","Andhra Pradesh Medical Services Recruitment Board (APMSRB)","1","Salary50000 / Month","40","Experience
                                  5+
                  Years","QualificationB.SC/B.SC(Hons),BS"
